Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Department of Transport and Planning,2020,qtr 2 2022‑23,6000000,107000000,TEI has increased by $59.349 million. TEI includes $57.500 million of Commonwealth funding.,Western Port Highway (Skye),Existing,Transport,114000000
Department of Transport and Planning,2020,qtr 4 2022‑23,7000000,102000000,Initiative funded in the 2020‑21 Budget.,Road maintenance blitz (statewide),Existing,Transport,109000000
Department of Transport and Planning,2020,qtr 1 2024‑25,9000000,273000000,TEI has increased by $113.504 million. TEI includes $141.252 million of Commonwealth funding.,Hall Road Upgrade (Skye),Existing,Transport,283000000
Department of Transport and Planning,2020,qtr 4 2023‑24,10000000,226000000,TEI excludes $16.867 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Princes Highway East Duplication Stage 3 (regional various),Existing,Transport,236000000
Department of Transport and Planning,2020,qtr 4 2024‑25,15000000,240000000,Initiative funded in the 2020‑21 Budget.,Great Ocean Road renewal (regional various),Existing,Transport,255000000
Department of Transport and Planning,2020,qtr 4 2023‑24,24000000,341000000,TEI has increased by $46.700 million due to market escalation and includes $292.000 million of Commonwealth funding.,Barwon Heads Road upgrade (Barwon Heads),Existing,Transport,365000000
Department of Transport and Planning,2020,qtr 4 2021‑22,55000000,55000000,TEI has increased by $62.394 million due to market escalation and includes $56.590 million of Commonwealth funding. TEI excludes $2.706 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Rural and Regional Roads Package - Improving the South Gippsland Highway (Gippsland region),Existing,Transport,110000000
Department of Transport and Planning,2020,qtr 4 2023‑24,56000000,118000000,Initiative funded in the 2020-21 Budget. TEI has decreased by $1.320 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Keeping Victorians moving (metropolitan),Existing,Transport,175000000
Department of Transport and Planning,2020,qtr 4 2021‑22,89000000,11000000,This initiative combines Metropolitan road maintenance (metropolitan various) and Regional road maintenance (regional various). TEI has decreased by $4.050 million due to savings. The estimated completion date has been extended to quarter 4 2021‑22 due to issues including ground access and complexities in detailed design.,Pavement Maintenance and Renewal Program (statewide),Existing,Transport,100000000
Department of Transport and Planning,2020,qtr 4 2020‑21,98000000,4000000,,Optimising transport network performance - congestion package (statewide),Completed,Transport,103000000
Department of Transport and Planning,2020,qtr 1 2021‑22,111000000,3000000,TEI has increased by $6.412 million due to increased scope funded by a developer contribution and $4.500 million due to utility relocation and COVID‑19 impacts. TEI includes $25.801 million of Commonwealth funding. The estimated completion date has been extended to quarter 1 2021‑22 due to COVID‑19 and utility relocation impacts.,Urban Congestion Package - O'Herns Road upgrade (Epping),Existing,Transport,114000000
Department of Transport and Planning,2020,qtr 4 2021‑22,117000000,0,,Drysdale bypass (Drysdale),Completed,Transport,117000000
Department of Transport and Planning,2020,qtr 3 2021‑22,123000000,2000000,TEI has increased by $25.400 million due to unexpected asbestos contaminated materials.,"Chandler Highway upgrade (Alphington, Kew)",Completed,Transport,125000000
Department of Transport and Planning,2020,qtr 1 2021‑22,126000000,0,,Yan Yean Road duplication - Stage 1 (Plenty),Completed,Transport,126000000
Department of Transport and Planning,2020,qtr 4 2022‑23,126000000,18000000,TEI has increased by $0.779 million due to increased scope funded by a developer contribution.,Plenty Road upgrade - Stage 2 (South Morang),Completed,Transport,144000000
Department of Transport and Planning,2020,qtr 4 2021‑22,127000000,47000000,"TEI has increased by $38.351 million due to market escalation and includes $74.674 million of Commonwealth funding. TEI excludes $5.360 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards, and excludes funding contributions from New South Wales and the Commonwealth portion for New South Wales.",Rural and Regional Roads Package - Echuca‑Moama bridge (Echuca),Existing,Transport,173000000
Department of Transport and Planning,2020,qtr 4 2022‑23,169000000,26000000,"TEI has decreased by $0.557 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. The estimated completion date has been extended to quarter 4 2022‑23 due to issues relating to ground access, detailed design complications and delays in procurement for a small number of projects.",Metropolitan and regional restoration and maintenance (statewide),Existing,Transport,195000000
Department of Transport and Planning,2020,qtr 2 2022‑23,173000000,65000000,TEI has increased by $88.000 million due to the addition of upgrades to eight metropolitan roads. The estimated completion date has been revised to quarter 2 2022‑23 to align with the delivery schedule of the Road Safety Program. Project was published as Continuing Towards Zero in the 2019‑20 Budget.,"TAC Victoria's Road Safety Strategy, Towards Zero 2016‑2020 (TZ2) (regional various)",Existing,Transport,237000000
Department of Transport and Planning,2020,qtr 4 2024‑25,226000000,104000000,TEI includes $183.300 million of Commonwealth funding and funding from the Transport Accident Commission.,Road Safety Strategy (statewide),New,Transport,330000000
Department of Transport and Planning,2020,qtr 2 2025‑26,269000000,1940000000,"TEI has decreased by $59.858 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. TEI includes $1,140.000 million of Commonwealth funding. The estimated completion date has been revised to quarter 2 2025‑26 in line with public commitments.",Suburban Roads Upgrade - Northern Roads Upgrade and South Eastern Roads Upgrade (statewide),Existing,Transport,2209000000
Department of Transport and Planning,2020,qtr 1 2022‑23,292000000,1000000,TEI has increased by $1.864 million due to certain expenditure being reclassified as capital instead of operating in line with accounting standards. Project name changed from Road Safety Towards Zero in the 2019-20 Budget.,"TAC Victoria's Road Safety Strategy, Towards Zero 2016-2020 (TZ1) (statewide)",Completed,Transport,293000000
Department of Transport and Planning,2020,qtr 2 2021‑22,318000000,32000000,TEI includes $181.735 million of Commonwealth funding.,Princes Highway duplication project - Winchelsea to Colac (regional various),Completed,Transport,349000000
Department of Transport and Planning,2020,qtr 3 2022‑23,319000000,349000000,TEI has decreased by $4.820 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. TEI includes $336.540 million of Commonwealth funding.,M80 Ring Road upgrade (north and west metropolitan region),Existing,Transport,668000000
Department of Transport and Planning,2020,qtr 2 2021‑22,403000000,120000000,TEI has increased by $148.246 million due to increased scope and market escalation. TEI excludes $1.000 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. The estimated completion date has been brought forward to quarter 2 2021‑22 due to contract award based on an accelerated program.,Mordialloc Freeway (Braeside),Existing,Transport,522000000
Department of Transport and Planning,2020,qtr 2 2022‑23,436000000,602000000,TEI has increased by $351.499 million due to market escalation and $1.900 million in developer contributions. TEI includes $667.600 million of Commonwealth funding. TEI excludes $16.002 million due to certain expenditure reclassified as operating instead of capital in line with accounting standards. The estimated completion date has been brought forward to quarter 2 2022‑23 due to contract award based on an accelerated program.,Monash Freeway upgrade - Stage 2 (South‑east Melbourne),Existing,Transport,1038000000
Department of Transport and Planning,2020,tbc,566000000,90000000,TEI includes $499.380 million of Commonwealth funding. The estimated completion date is to be confirmed due to legal challenges.,Western Highway duplication - Ballarat to Stawell (regional various),Existing,Transport,656000000
Department of Transport and Planning,2020,qtr 2 2022‑23,594000000,35000000,"TEI has decreased by $25.710 million reallocated to Targeted Road Safety works, $7.900 million reallocated to Road Safety Strategy (statewide), and $0.929 million reallocated to minor projects. Initiative is funded by the Transport Accident Commission.",Road Safety Strategy 2013‑2022 (statewide),Existing,Transport,630000000
Department of Transport and Planning,2020,qtr 4 2021‑22,943000000,44000000,TEI has increased by $50.000 million.,Western Roads upgrade (metropolitan various),Completed,Transport,987000000
Director of Housing,2020,qtr 4 2026‑27,37000000,147000000,TEI reflects four years of funding consistent with the 2020‑21 Budget. The Director of Housing has been provided with ongoing capital funding for this initiative.,Big Housing Build physical improvements (statewide),Existing,Health and human services,184000000
Director of Housing,2020,qtr 4 2023‑24,42000000,143000000,Estimated completion date has been extended to quarter 4 2023‑24 to reflect project scope revision.,Public housing renewal program (statewide),Existing,Health and human services,185000000
Director of Housing,2020,qtr 4 2021‑22,70000000,85000000,Initiative funded in the Building Works package announced in May 2020.,Building works stimulus (statewide),Existing,Health and human services,155000000
Director of Housing,2020,qtr 2 2022‑23,94000000,115000000,,Building new homes to fight homelessness (statewide),Existing,Health and human services,209000000
Director of Housing,2020,qtr 4 2026‑27,375000000,2624000000,New initiative in the 2020‑21 Budget. This initiative includes the transfer of the Markham Avenue estate redevelopment (Ashburton) project. The TEI includes $2.708 billion currently held in contingency.,Big Housing Build (statewide),Existing,Health and human services,2999000000
Goulburn Murray Rural Water Corporation,2020,qtr 4 2023‑24,1139000000,93000000,Project was previously named ‘Connections project (regional various)' in the 2019‑20 Budget but has since had its name changed to reflect a new project strategy.,Water efficiency project (regional various),Existing,Water,1231000000
Other PNFC,2020,qtr 2 2028‑29,0,1410000000,Initiative funded in the 2020‑21 Budget.,Melbourne Arts Precinct Transformation Phase One (Melbourne),Existing,"Culture, sport and community",1410000000
Other PNFC,2020,qtr 4 2022‑23,10000000,131000000,Initiative funded in the 2020‑21 Budget. TEI has reduced by $0.323 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Kardinia Park Stadium Stage 5 redevelopment (Geelong),Existing,"Culture, sport and community",141000000
Other PNFC,2020,qtr 2 2023‑24,33000000,107000000,Initiative funded in the 2020‑21 Budget. The estimated completion date has been revised to quarter 2 2023‑24 to reflect additional project scope.,Building a world‑class Geelong Performing Arts Centre (Geelong),Existing,"Culture, sport and community",140000000
Other PNFC,2020,qtr 4 2021‑22,282000000,15000000,TEI has increased by $24.472 million compared with the 2019‑20 Budget due to additional contribution of $20.500 million from Melbourne and Olympic Parks Trust and $3.972 million from Tennis Australia.,Melbourne Park redevelopment stage three (Melbourne),Existing,"Culture, sport and community",296000000
Other PNFC,2020,qtr 3 2020‑21,338000000,0,The project completion date has been revised due to project completed ahead of schedule.,Melbourne Park redevelopment stage two (Melbourne),Completed,"Culture, sport and community",338000000
Victorian Rail Track,2020,qtr 1 2025‑26,0,125000000,,Rolling stock maintenance and disposal programs (statewide),New,Transport,125000000
Victorian Rail Track,2020,qtr 4 2025‑26,0,240000000,,Caulfield rationalisation works (metropolitan various),New,Transport,240000000
Victorian Rail Track,2020,qtr 4 2025‑26,0,368000000,,Tram infrastructure upgrades (metropolitan various),New,Transport,368000000
Victorian Rail Track,2020,qtr 4 2024‑25,0,465000000,,Regional rail sustainability (statewide),New,Transport,465000000
Victorian Rail Track,2020,qtr 2 2026‑27,0,986000000,Cashflows not reported at this time due to the commercial sensitivity of the procurement process.,New metropolitan trains (statewide),New,Transport,986000000
Victorian Rail Track,2020,qtr 1 2023‑24,1354000000,889000000,,High Capacity Metro Trains (metropolitan various),Existing,Transport,2243000000
Victorian Rail Track,2020,qtr 1 2024‑25,3000000,257000000,Initiative funded in the 2020‑21 Budget. TEI includes $208.000 million of Commonwealth funding.,Regional Rail Revival - Warrnambool Line Upgrade - Stage 2 (regional various),Existing,Transport,260000000
Victorian Rail Track,2020,qtr 4 2023‑24,5000000,395000000,Initiative funded in the 2020‑21 Budget. TEI includes $320.000 million of Commonwealth funding.,Regional Rail Revival - Shepparton Line Upgrade - Stage 3 (Shepparton),Existing,Transport,400000000
Victorian Rail Track,2020,qtr 2 2025‑26,7519000000,4737000000,TEI has increased by $1 372.000 million due to additional scope. TEI excludes $182.856 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. TEI excludes financing costs.,Metro Tunnel (metropolitan various),Existing,Transport,12255000000
Victorian Rail Track,2020,qtr 2 2022‑23,30000000,145000000,TEI has increased by $85.200 million due to scope variations and market conditions. TEI includes $158.680 million of Commonwealth funding and excludes $0.368 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Regional Rail Revival - Bendigo/Echuca Line Upgrade (Bendigo),Existing,Transport,175000000
Victorian Rail Track,2020,qtr 2 2024‑25,32000000,868000000,,Regional Rail Revival - Waurn Ponds Track Duplication - Stage 2 (regional various),Existing,Transport,899000000
Victorian Rail Track,2020,qtr 2 2022‑23,44000000,271000000,TEI includes $2.312 million reprioritised from Regional Rail Revival and excludes $1.103 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. Estimated completion date has been revised to reflect a revised schedule of works.,Regional Rail Revival - Shepparton Corridor Upgrade - Stage 2 (Shepparton),Existing,Transport,314000000
Victorian Rail Track,2020,qtr 2 2025-26,48000000,228000000,Initiative funded in the 2020-21 Budget.,Dandenong Corridor Readiness Works,Existing,Transport,277000000
Victorian Rail Track,2020,qtr 4 2021‑22,61000000,49000000,,New Trams (metropolitan various),Existing,Transport,110000000
Victorian Rail Track,2020,qtr 4 2028‑29,79000000,1404000000,Initiative funded in the 2020‑21 Budget.,Next Generation Trams (metropolitan various),Existing,Transport,1483000000
Victorian Rail Track,2020,qtr 2 2022‑23,83000000,449000000,TEI has increased by $97.800 million due to scope variations and market conditions. TEI includes $447.700 million of Commonwealth funding and excludes $1.436 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Regional Rail Revival - Gippsland Line Upgrade Stage 1 (regional various),Existing,Transport,531000000
Victorian Rail Track,2020,qtr 2 2024‑25,90000000,396000000,"The Car Parks for Commuter and Train station car parking programs have been consolidated into one initiative as this will be managed as a single car parking program to streamline reporting and maximise program efficiencies. TEI has increased by $263.817 million due to additional funding announced in the 2020‑21 Budget, funding provided by the Infrastructure Planning and Acceleration Fund, the Growth Areas Infrastructure Contribution funding and contributions from the Commonwealth Government. The estimated completion date has been revised to quarter 2 2024‑25 to reflect a revised project scope.",Car Parks for Commuters Program (statewide),Existing,Transport,486000000
Victorian Rail Track,2020,qtr 4 2021‑22,97000000,8000000,Initiative funded in the 2020‑21 Budget.,Regional Rail Sustainability (regional various),Completed,Transport,106000000
Victorian Rail Track,2020,qtr 4 2020‑21,98000000,5000000,,Additional X'Trapolis Metropolitan Trains (metropolitan various),Completed,Transport,104000000
Victorian Rail Track,2020,qtr 4 2020‑21,100000000,0,,Flinders Street Station Redevelopment (Melbourne),Completed,Transport,100000000
Victorian Rail Track,2020,qtr 3 2020‑21,115000000,0,,Bayside rail improvements (metropolitan various),Completed,Transport,115000000
Victorian Rail Track,2020,qtr 2 2022‑23,115000000,422000000,TEI has increased by $7.000 million due to additional scope. TEI excludes $0.014 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Hurstbridge Line Upgrade Stage 2 (metropolitan various),Existing,Transport,537000000
Victorian Rail Track,2020,qtr 4 2023‑24,127000000,213000000,,Additional VLocity trains (regional various),Existing,Transport,340000000
Victorian Rail Track,2020,qtr 4 2020‑21,145000000,19000000,TEI has decreased by $8.643 million due to project savings.,Wyndham Vale Stabling Yard (regional various),Completed,Transport,164000000
Victorian Rail Track,2020,qtr 4 2021‑22,146000000,0,"TEI has decreased by $120.270 million due to movement of scope to the E‑Class Tram Infrastructure Program, and by $13.893 million due to reprioritisation to High Capacity Metro Trains.",New E‑Class trams (metropolitan various),Completed,Transport,146000000
Victorian Rail Track,2020,qtr 4 2021‑22,166000000,84000000,TEI has decreased by $34.560 million due to the creation of the E‑Class Tram Infrastructure Program (metropolitan various).,New VLocity carriages for the regional network (regional various),Existing,Transport,251000000
Victorian Rail Track,2020,qtr 4 2021‑22,200000000,24000000,TEI has decreased by $2.182 million due to reprioritisation to High Capacity Metro Trains. The estimated completion date has been revised to quarter 4 2021‑22 to reflect a revised schedule of works.,More regional trains - Regional Network Development Plan (regional various),Existing,Transport,224000000
Victorian Rail Track,2020,qtr 2 2021‑22,218000000,32000000,TEI has increased by $137.800 million due to scope variations and market conditions. TEI includes $226.345 million of Commonwealth funding and excludes $1.611 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Regional Rail Revival - Warrnambool and Geelong Line Upgrade (regional various),Existing,Transport,250000000
Victorian Rail Track,2020,qtr 4 2020‑21,222000000,18000000,TEI has increased by $3.300 million due to reprioritisation from other projects.,Frankston Line stabling (Kananook),Completed,Transport,240000000
Victorian Rail Track,2020,qtr 4 2021‑22,239000000,21000000,TEI has decreased by $11.000 million due to reprioritisation to High Capacity Metro Trains.,More regional trains - New Vlocity Trains (regional various),Completed,Transport,259000000
Victorian Rail Track,2020,qtr 4 2024‑25,240000000,2119000000,TEI excludes $90.295 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. Estimated completion date is only for initial and early works program (pre‑construction activities).,Suburban Rail Loop Initial and Early Works (metropolitan various),Existing,Transport,2360000000
Victorian Rail Track,2020,qtr 2 2020-21,252000000,3000000,,Network Transition Plan - Phase A (Statewide),Completed,Transport,256000000
Victorian Rail Track,2020,qtr 2 2020‑21,288000000,0,,Major periodic maintenance on the regional rail network (regional various),Completed,Transport,288000000
Victorian Rail Track,2020,qtr 4 2021‑22,344000000,0,"TEI has decreased by $448.828 million due to movement of scope to the E‑Class Tram Infrastructure Program, and by $11.216 million due to reprioritisation to High Capacity Metro Trains.",Tram procurement and supporting infrastructure (metropolitan various),Completed,Transport,344000000
Victorian Rail Track,2020,qtr 2 2024‑25,371000000,1602000000,"TEI has decreased by $61.500 million due to other corridor works, and excludes $15.870 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.",New trains for Sunbury (metropolitan various),Existing,Transport,1973000000
Victorian Rail Track,2020,tbc,377000000,418000000,"TEI has increased by $244.000 million for the optimised scope package of the Murray Basin Rail Project, including $36.000 million of works from Regional Rail Maintenance - Sleeper and Ballast Replacement and Remediation, and includes an additional $195.200 million of Commonwealth funding. TEI excludes $17.286 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.",Murray Basin Rail Project (regional various),Existing,Transport,794000000
Victorian Rail Track,2020,qtr 1 2023‑24,412000000,353000000,TEI has increased by $15.000 million through additional Growth Areas Infrastructure Contribution funding due to the addition of a shared user path to the project scope. Estimated completion date has been revised to reflect a revised schedule of works.,Cranbourne Line Duplication (metropolitan various),Existing,Transport,765000000
Victorian Rail Track,2020,qtr 4 2025‑26,452000000,283000000,The enabling infrastructure components of the E‑Class tram program published separately in the 2019‑20 Budget have been consolidated into one initiative to improve program management and transparency.,E‑Class Tram Infrastructure Program (metropolitan various),Existing,Transport,735000000
Victorian Rail Track,2020,qtr 2 2020‑21,533000000,6000000,TEI excludes $0.150 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Cranbourne Pakenham and Sunbury Line Upgrades (metropolitan various),Completed,Transport,539000000
Victorian Rail Track,2020,qtr 2 2020‑21,590000000,18000000,,Caulfield to Dandenong conventional signalling and power infrastructure upgrade (metropolitan various),Completed,Transport,608000000
Victorian Rail Track,2020,qtr 3 2022‑23,608000000,23000000,"TEI has increased by $93.000 million due to scope variations and market conditions, and decreased by $6.893 million due to savings. TEI includes $503.000 million of Commonwealth funding.",Regional Rail Revival - Ballarat Line Upgrade Stage 1 (regional various),Completed,Transport,631000000
Victorian Rail Track,2020,qtr 4 2025‑26,682000000,943000000,"As a rolling program of works, the TEI varies from year to year. TEI incorporates all capital funding for metropolitan rail infrastructure renewals from 2018‑19 to 2025‑26.",Metropolitan rail infrastructure renewal program (metropolitan various),Existing,Transport,1625000000
Court Services Victoria,2021,qtr 1 2024-25,11000000,260000000,The project's cashflow has been revised in line with a revised project schedule.,New Wyndham Law Court Development (Werribee),Existing,Justice and emergency services,271000000
Court Services Victoria,2021,qtr 4 2023-24,92000000,61000000,"The estimated completion date has been revised due to a revised project scope, with construction of the Bendigo Law Court expected to be complete by quarter 2 2022-23 and the Bendigo Drug Court by quarter 4 2023-24. The project's cashflow has been revised in line with a revised project schedule.",Bendigo Law Courts Redevelopment (Bendigo),Existing,Justice and emergency services,152000000
Court Services Victoria,2021,qtr 4 2021-22,347000000,0,The Victorian Government will purchase the County Court building at the end of the current lease. The leasehold is due to expire in May 2022. The building will continue to house the County Court.,County Court Facility Project (Melbourne),Completed,Justice and emergency services,347000000
Department of Education,2021,qtr 4 2025-26,0,120000000,,Essential maintenance and compliance (statewide),New,Education and Training,120000000
Department of Education,2021,qtr 4 2024-25,0,237000000,,"Land acquisition for new schools - municipalities of Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham (various)",New,Education and Training,237000000
Department of Education,2021,qtr 2 2025-26,0,326000000,#NAME?,Special school upgrades (statewide),New,Education and Training,326000000
Department of Education,2021,qtr 1 2025-26,0,527000000,"To open in 2024:
- Aintree Secondary School (Interim Name)
- Aintree Specialist School (Interim Name)
- Alexander Boulevard Primary School (Interim Name)
- Black Forest East Primary School (Interim Name)
- Brookfield Primary School (Interim Name)
- Lockerbie Central Primary School (Interim Name)
- Lollypop Creek Secondary School (Interim Name)
- Lollypop Creek Specialist School (Interim Name)
- Merrifield South Primary School (Interim Name)
- Officer Brunt Road Primary School (Interim Name)
- Riverdale Secondary School (Interim Name)
- Tarneit North Primary School (Interim Name)
- Truganina North Primary School (Interim Name)
New schools - additional stages:
- Aintree Primary School
- Aitken Hill Primary School
- Gaayip-Yagila Primary School
- Truganina North Secondary School (Interim Name)",New schools construction (statewide),New,Education and Training,527000000
Department of Education,2021,qtr 4 2023-24,74000000,209000000,"due to the Port of Melbourne lease transaction, the budget does not take into account any Port of Melbourne Corporation financial data beyond 2015‑16.",Ready for school: Kinder for every three-year-old 2019-20 (statewide),Existing,Education and Training,282000000
Department of Education,2021,qtr 2 2022-23,87000000,43000000,"The TEI has increased by $0.150 million due to a revised project scope, funded by a co-contribution from the school. This initiative was funded in the Building Works package announced in May 2020.",School upgrades - growth for 2022 (metropolitan various),Existing,Education and Training,130000000
Department of Education,2021,qtr 4 2022-23,96000000,9000000,,Relocatable Buildings Program 2020‑21 (statewide),Completed,Education and Training,105000000
Department of Education,2021,qtr 1 2024-25,103000000,198000000,The TEI has increased by $25.250 million due to additional State funding relating to the purchase of the Richmond High School site from Homes Victoria.,Land Acquisition 2021-22 (various),Existing,Education and Training,302000000
Department of Education,2021,qtr 3 2022-23,120000000,0,,TAFE Facilities modernisation Program 2018-19 (statewide),Completed,Education and Training,120000000
Department of Education,2021,qtr 3 2022-23,123000000,0,"The TEI has increased by $4.022 million due to a revised project scope, funded by a co-contribution of $3.962 million from the school and by a co-contribution of $0.060 million from local government. This initiative was funded in the Building Works package announced in May 2020.",Greater Shepparton Secondary College 2020‑21 (Shepparton),Completed,Education and Training,123000000
Department of Education,2021,qtr 4 2022-23,147000000,1000000,,Land acquisition 2020-21 (statewide),Completed,Education and Training,147000000
Department of Education,2021,qtr 3 2023-24,183000000,309000000,,New schools construction 2021-22 (statewide),Existing,Education and Training,492000000
Department of Education,2021,qtr 4 2022-23,295000000,6000000,The TEI has decreased by $19.554 million due to a return of Growth Area Infrastructure Contributions as a lower amount of funding was required.,Land acquisition 2018-19 (statewide),Completed,Education and Training,301000000
Department of Education,2021,qtr 1 2022-23,604000000,1000000,The TEI has increased by $0.509 million due to a co-contribution from McKinnon Secondary College. This is offset by a TEI decrease of $20.311 million due to the savings being redirected from this program to other school projects. The TEI has also decreased by a further $2.010 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,New schools construction 2019-20 (statewide),Existing,Education and Training,605000000
"Department of Environment, Energy and Climate Action",2021,qtr 4 2025-26,118000000,51000000,The TEI has increased by $15.913 million due to additional Commonwealth Government funding. The estimated completion date has been revised to quarter 4 2025-26 to reflect a more accurate forecast.,National Water Infrastructure Development Fund - National Partnership Agreement (regional various),Existing,Water,169000000
"Department of Environment, Energy and Climate Action",2021,qtr 4 2023-24,126000000,66000000,The TEI has increased by $121.500 million due to additional funding to meet forecast capital costs for land acquisition and parkland establishment. The project's cashflow has been revised in line with a revised project schedule.,Suburban Parks Program (Creating a Ring of New Parkland) (metropolitan),Existing,Environment,192000000
Department of Health,2021,qtr 4 2026-27,0,112000000,The TEI has increased by $8.580 million due to market conditions. The project's cashflow has been revised in line with a revised project schedule due to COVID-19 impacts.,More hospital and aged care beds for Melbourne's East (Angliss Hospital Expansion Stage 2) (Upper Ferntree Gully),Existing,Health and human services,112000000
Department of Health,2021,qtr 4 2024-25,0,141000000,The project's cashflow has been revised in line with a revised project schedule.,Expanding mental health treatment facilities for Victoria's youth (statewide),Existing,Health and human services,141000000
Department of Health,2021,qtr 2 2026-27,0,196000000,,Additional acute mental health beds in regional Victoria (various),New,Health and human services,196000000
Department of Health,2021,qtr 4 2026-27,0,236000000,,Emergency Departments Expansion Program - Casey Hospital and Werribee Mercy Hospital (Casey) (Werribee),New,Health and human services,236000000
Department of Health,2021,qtr 4 2025-26,0,300000000,,Regional Health Infrastructure Fund 2022-23 (regional various),New,Health and human services,300000000
Department of Health,2021,qtr 4 2024-25,2000000,122000000,The TEI includes $11.000 million reprioritised from Expanding and improving bed-based forensic mental health services: Thomas Embling Hospital (Fairfield).,Redevelopment of Thomas Embling Hospital - Stage 2 (Fairfield),New,Health and human services,124000000
Department of Health,2021,qtr 2 2024-25,3000000,97000000,The project's cashflow and estimated completion date have been revised in line with a revised project schedule due to COVID-19 impacts.,Building a world class hospital in Maryborough (Maryborough),Existing,Health and human services,100000000
Department of Health,2021,qtr 4 2025-26,4000000,380000000,The project's cashflow has been revised in line with a revised project schedule.,Warrnambool Base Hospital redevelopment (incl Warrnambool Logistics Hub) (Warrnambool),Existing,Health and human services,384000000
Department of Health,2021,qtr 4 2024-25,9000000,330000000,The TEI has decreased by $11.000 million due to funds being redirected to the Redevelopment of Thomas Embling Hospital - Stage 2 (Fairfield). The project's cashflow has been revised in line with a revised project schedule.,Expanding and improving bed-based forensic mental health services: Thomas Embling Hospital (Fairfield),Existing,Health and human services,339000000
Department of Health,2021,qtr 2 2028-29,19000000,523000000,The project's cashflow and estimated completion date have been revised in line with a revised project schedule.,Ballarat Health Services expansion and redevelopment and the new Central Energy Plant (Ballarat),Existing,Health and human services,542000000
Department of Health,2021,qtr 4 2023-24,28000000,92000000,The project's cashflow and estimated completion date have been revised in line with a revised project schedule due to COVID-19 impacts.,Regional Health Infrastructure Fund 2020-21 (regional various),Existing,Health and human services,120000000
Department of Health,2021,qtr 2 2023-24,28000000,95000000,The project's cashflow has been revised in line with a revised project schedule due to COVID-19 impacts.,More help for Victorian mums and dads (statewide),Existing,Health and human services,123000000
Department of Health,2021,qtr 4 2023-24,38000000,179000000,The project's name has changed from Latrobe Regional Hospital redevelopment - Stage 3A (Traralgon) as published in the 2021-22 Budget. The project's cashflow has been revised in line with a revised project schedule.,Building a bigger and better Latrobe Regional Hospital (Traralgon),Existing,Health and human services,217000000
Department of Health,2021,qtr 4 2023-24,45000000,142000000,The TEI has decreased by $13.000 million due to funds being redirected to the Victorian Heart Hospital project for inclusion of a helipad. The project's cashflow has been revised in line with a revised project schedule due to COVID-19 impacts.,Metropolitan Health Infrastructure Fund (metropolitan various),Existing,Health and human services,187000000
Department of Health,2021,qtr 4 2023-24,47000000,53000000,The project's cashflow and estimated completion date have been revised in line with a revised project schedule due to COVID-19 impacts.,Regional Health Infrastructure Fund 2019-20 (regional various),Existing,Health and human services,100000000
Department of Health,2021,qtr 4 2022-23,63000000,52000000,The project's cashflow has been revised in line with a revised project schedule.,Wonthaggi Hospital emergency department expansion (Wonthaggi),Existing,Health and human services,115000000
Department of Health,2021,qtr 4 2024-25,94000000,581000000,The TEI includes $51.353 million from the Infrastructure Planning and Acceleration Fund. The project's cashflow has been revised in line with a revised project schedule.,Ten new community hospitals to give patients the best care (statewide),Existing,Health and human services,675000000
Department of Health,2021,qtr 3 2025-26,101000000,1017000000,"The TEI component of the total project cost has increased by $512.824 million. This project is a PPP where the upfront capital investment has resulted in additional scope and whole of life benefits while remaining within the project's affordability benchmark. The estimated completion date has been revised to 2025-26 to reflect the completion date of the new hospital tower by the end of 2025, with the redevelopment operational in early 2026 and remaining refurbishment and other works completed by 2027-28.",Building a world class hospital for Frankston families (Frankston),Existing,Health and human services,1118000000
Department of Health,2021,qtr 4 2022-23,127000000,42000000,The project's cashflow has been revised in line with a revised project schedule due to COVID-19 impacts.,Meeting ambulance response Times (statewide),Existing,Health and human services,169000000
Department of Health,2021,qtr 2 2022-23,156000000,6000000,The project's cashflow has been revised in line with a revised project schedule due to COVID-19 impacts.,Northern Hospital inpatient expansion - Stage 2 (Epping),Existing,Health and human services,163000000
