name,theme,entity,type,investment,lga,feature_type,Geographic Latitude,Geographic Longitude,description
Zoos Victoria Kids Free policy,Environment and Parkland,"Department of Environment, Land, Water and Planning",Management of Public Land and Forests,$9.2 million*,Wyndham (C),Point,-37.922607,144.667359,"Funding is provided to allow children under 16 years of age to continue to enjoy free access to Melbourne Zoo, Healesville Sanctuary and Werribee Open Range Zoo on weekends, public holidays and during school holidays."
Wangaratta District Specialist School (Benalla campus),Education,Department of Education,New Schools Construction,$4.6 million,Wangaratta (RC),Point,-36.34379,146.30016,"Funding is provided to allow children under 16 years of age to continue to enjoy free access to Melbourne Zoo, Healesville Sanctuary and Werribee Open Range Zoo on weekends, public holidays and during school holidays."
Clyde North Station Primary School,Education,Department of Education,New Schools Construction,At least $11.4 million,Casey (C),Point,-38.121016,145.332263,"Funding is provided to allow children under 16 years of age to continue to enjoy free access to Melbourne Zoo, Healesville Sanctuary and Werribee Open Range Zoo on weekends, public holidays and during school holidays."
Preston High School,Education,Department of Education,New Schools Construction,At least $18.9 million,Darebin (C),Point,-37.74169,145.0064,"The Government will continue its commitment to open 100 new schools across the state by 2026, and additional stages of new schools will also be constructed at four schools."
Wonthaggi Secondary College - San Remo campus,Education,Department of Education,New Schools Construction,At least $25.8 million,Bass Coast (S),Point,-38.525565,145.376694,"The Government will continue its commitment to open 100 new schools across the state by 2026, and additional stages of new schools will also be constructed at four schools."
North Melbourne Hill Proposed School,Education,Department of Education,New Schools Construction,At least $36.1 million,Melbourne (C),Point,-37.801018,144.945807,"The Government will continue its commitment to open 100 new schools across the state by 2026, and additional stages of new schools will also be constructed at four schools."
Alkira Secondary College,Education,Department of Education,School Upgrades,$1 million,Casey (C),Point,-38.07313,145.30872,"The Government will continue its commitment to open 100 new schools across the state by 2026, and additional stages of new schools will also be constructed at four schools."
Altona College,Education,Department of Education,School Upgrades,$3.6 million,Hobsons Bay (C),Point,-37.86191,144.81864,"The Government will build North Melbourne Hill Primary School to open in 2023, contributing to its commitment to open 100 new schools across the state by 2026."
Ashwood High School,Education,Department of Education,School Upgrades,$9.7 million,Monash (C),Point,-37.86453,145.10333,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Auburn High School,Education,Department of Education,School Upgrades,$10.1 million,Boroondara (C),Point,-37.83988,145.04507,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Auburn South Primary School,Education,Department of Education,School Upgrades,$3.3 million,Boroondara (C),Point,-37.83926,145.04589,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Badger Creek Primary School,Education,Department of Education,School Upgrades,$9 million,Yarra Ranges (S),Point,-37.68134,145.53324,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Bairnsdale Secondary College,Education,Department of Education,School Upgrades,$7.2 million,East Gippsland (S),Point,-37.82871,147.605,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Banyule Primary School,Education,Department of Education,School Upgrades,$12.4 million,Banyule (C),Point,-37.74361,145.07794,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Bayside P-12 College,Education,Department of Education,School Upgrades,$6.7 million,Hobsons Bay (C),Point,-37.8577,144.88521,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Bayswater Secondary College,Education,Department of Education,School Upgrades,$12.4 million,Knox (C),Point,-37.83903,145.262,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Beechworth Primary School,Education,Department of Education,School Upgrades,$7.7 million,Indigo (S),Point,-36.35543,146.69357,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Bell Primary School,Education,Department of Education,School Upgrades,$7.2 million,Darebin (C),Point,-37.7477,144.99061,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Bellaire Primary School,Education,Department of Education,School Upgrades,$7.6 million,Greater Geelong (C),Point,-38.17959,144.31977,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Bendigo Senior Secondary College,Education,Department of Education,School Upgrades,$10 million,Greater Bendigo (C),Point,-36.7553,144.27928,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Beveridge Primary School,Education,Department of Education,School Upgrades,$1 million,Mitchell (S),Point,-37.47206,144.97776,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Billanook Primary School,Education,Department of Education,School Upgrades,$7.8 million,Yarra Ranges (S),Point,-37.82495,145.33925,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Birregurra Primary School,Education,Department of Education,School Upgrades,$2.2 million,Colac Otway (S),Point,-38.34046,143.78651,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Blackburn High School,Education,Department of Education,School Upgrades,$9 million,Whitehorse (C),Point,-37.81037,145.14989,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Boronia West Primary School,Education,Department of Education,School Upgrades,$4.3 million,Knox (C),Point,-37.85856,145.27848,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Bundoora Primary School ,Education,Department of Education,School Upgrades,$9.2 million,Banyule (C),Point,-37.70734,145.06299,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Burwood East Primary School,Education,Department of Education,School Upgrades,$8 million,Whitehorse (C),Point,-37.85973,145.15181,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Camberwell Primary School,Education,Department of Education,School Upgrades,$0.7 million,Boroondara (C),Point,-37.83268,145.05805,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Cape Clear Primary School,Education,Department of Education,School Upgrades,$0.8 million,Golden Plains (S),Point,-37.79196,143.60821,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Carrum Downs Secondary College,Education,Department of Education,School Upgrades,$2.8 million,Frankston (C),Point,-38.09529,145.19766,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Carwatha College P-12,Education,Department of Education,School Upgrades,$4.2 million,Greater Dandenong (C),Point,-37.94284,145.18873,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Chatham Primary School,Education,Department of Education,School Upgrades,$5.4 million,Boroondara (C),Point,-37.81765,145.0916,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Chewton Primary School,Education,Department of Education,School Upgrades,$1.4 million,Mount Alexander (S),Point,-37.08233,144.26116,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Churchill North Primary School,Education,Department of Education,School Upgrades,$3.4 million,Latrobe (C),Point,-38.30464,146.41695,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Clifton Springs Primary School,Education,Department of Education,School Upgrades,$15.6 million,Greater Geelong (C),Point,-38.16566,144.55314,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Concongella Primary School,Education,Department of Education,School Upgrades,$1.1 million,Northern Grampians (S),Point,-37.04956,142.82232,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Currawa Primary School,Education,Department of Education,School Upgrades,$1.5 million,Greater Shepparton (C),Point,-36.38475,145.70379,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Diggers Rest Primary School,Education,Department of Education,School Upgrades,$3.2 million,Melton (C),Point,-37.62263,144.70923,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Elmore Primary School,Education,Department of Education,School Upgrades,$1.1 million,Greater Bendigo (C),Point,-36.4972,144.60891,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Emerald Secondary College,Education,Department of Education,School Upgrades,$5 million,Cardinia (S),Point,-37.92427,145.45874,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Exford Primary School,Education,Department of Education,School Upgrades,$25.3million,Melton (C),Point,-37.74529,144.55879,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Fairhills High School,Education,Department of Education,School Upgrades,$8.1 million,Knox (C),Point,-37.87321,145.25904,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Falls Creek Primary School,Education,Department of Education,School Upgrades,$1.5 million,Alpine (S),Point,-36.86431,147.27976,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Fawkner Primary School,Education,Department of Education,School Upgrades,$7.8 million,Moreland (C),Point,-37.71524,144.97476,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Fitzroy Primary School,Education,Department of Education,School Upgrades,$9.3 million,Yarra (C),Point,-37.7996,144.98151,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Flemington Primary School,Education,Department of Education,School Upgrades,$1.1 million,Moonee Valley (C),Point,-37.78067,144.93392,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Footscray High School - Kinnear Street Campus,Education,Department of Education,School Upgrades,$25.3 million,Maribyrnong (C),Point,-37.790466,144.89435,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Geelong South Primary School,Education,Department of Education,School Upgrades,$2.3 million,Greater Geelong (C),Point,-38.15694,144.35857,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Gladysdale Primary School,Education,Department of Education,School Upgrades,$2.2million,Yarra Ranges (S),Point,-37.82025,145.65099,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Gleneagles Secondary College,Education,Department of Education,School Upgrades,$3.3million,Casey (C),Point,-37.97461,145.27656,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Glenroy Central Primary School,Education,Department of Education,School Upgrades,$0.8million,Moreland (C),Point,-37.70428,144.92504,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Greenhills Primary School,Education,Department of Education,School Upgrades,$6.8 million,Banyule (C),Point,-37.69228,145.11865,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Grovedale West Primary School,Education,Department of Education,School Upgrades,$6.6 million,Greater Geelong (C),Point,-38.20828,144.32895,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Hampton Park Secondary College,Education,Department of Education,School Upgrades,$7.6 million,Casey (C),Point,-38.03486,145.25988,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Hazelwood North Primary School,Education,Department of Education,School Upgrades,$2.7 million,Latrobe (C),Point,-38.26819,146.44768,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Heathmont College,Education,Department of Education,School Upgrades,$2.5 million,Maroondah (C),Point,-37.83843,145.2321,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Hopetoun P-12 College,Education,Department of Education,School Upgrades,$9.5 million,Yarriambiack (S),Point,-35.73487,142.36603,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Hoppers Crossing Secondary College,Education,Department of Education,School Upgrades,$10.1 million,Wyndham (C),Point,-37.87122,144.69536,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Karingal Primary School,Education,Department of Education,School Upgrades,$4.1 million,Frankston (C),Point,-38.13792,145.15228,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Keilor Heights Primary School,Education,Department of Education,School Upgrades,$0.8 million,Moonee Valley (C),Point,-37.73752,144.86649,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Kingswood Primary School,Education,Department of Education,School Upgrades,$6.2 million,Kingston (C),Point,-37.983,145.1238,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Korumburra Secondary College,Education,Department of Education,School Upgrades,$12.8 million,South Gippsland (S),Point,-38.44387,145.8039,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Kurnai College ,Education,Department of Education,School Upgrades,$2.8 million,Latrobe (C),Point,-38.22879,146.43279,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Kyabram P-12 College,Education,Department of Education,School Upgrades,$6.8 million,Campaspe (S),Point,-36.31748,145.05621,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Kyneton High School,Education,Department of Education,School Upgrades,$11 million,Macedon Ranges (S),Point,-37.25133,144.45817,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Lalor Primary School,Education,Department of Education,School Upgrades,$12.9 million,Whittlesea (C),Point,-37.67008,145.02539,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Lalor Secondary College,Education,Department of Education,School Upgrades,$26.2 million,Whittlesea (C),Point,-37.67266,145.03062,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Lilydale Heights College,Education,Department of Education,School Upgrades,$11.3 million,Yarra Ranges (S),Point,-37.74582,145.34141,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Lilydale High School,Education,Department of Education,School Upgrades,$6.4 million,Yarra Ranges (S),Point,-37.7607,145.34392,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Linton Primary School,Education,Department of Education,School Upgrades,$2 million,Golden Plains (S),Point,-37.68407,143.56131,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Lorne P-12 College,Education,Department of Education,School Upgrades,$9 million,Surf Coast (S),Point,-38.53918,143.97389,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Lyndale Secondary College ,Education,Department of Education,School Upgrades,$10.8 million,Greater Dandenong (C),Point,-37.95876,145.20671,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
MacRobertson Girls High School,Education,Department of Education,School Upgrades,$4 million,Port Phillip (C),Point,-37.83589,144.97186,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Maiden Gully Primary School,Education,Department of Education,School Upgrades,$4.6 million,Greater Bendigo (C),Point,-36.74419,144.2097,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Mentone Park Primary School ,Education,Department of Education,School Upgrades,$4 million,Kingston (C),Point,-37.98001,145.0828,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Merbein P-10 College,Education,Department of Education,School Upgrades,$5.9 million,Mildura (RC),Point,-34.16937,142.07131,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Merrivale Primary School,Education,Department of Education,School Upgrades,$5.4 million,Warrnambool (C),Point,-38.37802,142.45615,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Mickleham Primary School,Education,Department of Education,School Upgrades,$21.4 million,Hume (C),Point,-37.5635,144.87655,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Mill Park Secondary College,Education,Department of Education,School Upgrades,$11.6 million,Whittlesea (C),Point,-37.66416,145.06341,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Monmia Primary School,Education,Department of Education,School Upgrades,$6.9 million,Brimbank (C),Point,-37.71727,144.79205,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Mount Alexander 7-12 College,Education,Department of Education,School Upgrades,$24.8 million,Moonee Valley (C),Point,-37.78215,144.93324,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Mount Waverley Secondary College,Education,Department of Education,School Upgrades,$7.2 million,Monash (C),Point,-37.86909,145.13231,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Myrtleford P-12 College,Education,Department of Education,School Upgrades,$9.4 million,Alpine (S),Point,-36.54889,146.72614,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Nagambie Primary School,Education,Department of Education,School Upgrades,$3 million,Strathbogie (S),Point,-36.78759,145.15723,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Natimuk Primary School,Education,Department of Education,School Upgrades,$2.1 million,Horsham (RC),Point,-36.74124,141.9505,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Newlands Primary School,Education,Department of Education,School Upgrades,$7.7 million,Darebin (C),Point,-37.73011,144.98538,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Newstead Primary School,Education,Department of Education,School Upgrades,$2.5 million,Mount Alexander (S),Point,-37.10592,144.06719,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Northern Bay P-12 College ,Education,Department of Education,School Upgrades,$15.3 million,Greater Geelong (C),Point,-38.07841,144.35571,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Norwood Secondary College,Education,Department of Education,School Upgrades,$7.4 million,Maroondah (C),Point,-37.79975,145.2376,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Oakleigh Primary School,Education,Department of Education,School Upgrades,$4 million,Monash (C),Point,-37.89447,145.08862,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Oakleigh South Primary School,Education,Department of Education,School Upgrades,$8.8 million,Monash (C),Point,-37.92338,145.0946,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Pakenham Consolidated School,Education,Department of Education,School Upgrades,$10 million,Cardinia (S),Point,-38.06537,145.46466,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Parktone Primary School,Education,Department of Education,School Upgrades,$3.5 million,Kingston (C),Point,-37.98711,145.08824,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Pascoe Vale Primary School,Education,Department of Education,School Upgrades,$7.9 million,Moreland (C),Point,-37.73122,144.93726,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Peter Lalor Secondary College,Education,Department of Education,School Upgrades,$8.2 million,Whittlesea (C),Point,-37.66691,145.01316,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Rainbow P-12 College,Education,Department of Education,School Upgrades,$11.2 million,Hindmarsh (S),Point,-35.89447,141.9967,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Reservoir High School,Education,Department of Education,School Upgrades,$4.4 million,Darebin (C),Point,-37.72226,145.02977,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Ringwood Secondary College,Education,Department of Education,School Upgrades,$14.7 million,Maroondah (C),Point,-37.81661,145.23915,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Rosebud Secondary College,Education,Department of Education,School Upgrades,$10 million,Mornington Peninsula (S),Point,-38.36762,144.88745,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Rosehill Secondary College,Education,Department of Education,School Upgrades,$10.2 million,Moonee Valley (C),Point,-37.74668,144.88618,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Skipton Primary School,Education,Department of Education,School Upgrades,$4.2 million,Corangamite (S),Point,-37.68686,143.36816,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
South Oakleigh Secondary College,Education,Department of Education,School Upgrades,$8.9 million,Monash (C),Point,-37.92232,145.08977,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Stawell Secondary College ,Education,Department of Education,School Upgrades,$11.2 million,Northern Grampians (S),Point,-37.06195,142.78979,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Strathaird Primary School,Education,Department of Education,School Upgrades,$10 million,Casey (C),Point,-38.06312,145.28692,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Strathmerton Primary School,Education,Department of Education,School Upgrades,$3.7 million,Moira (S),Point,-35.92402,145.47884,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Sunbury West Primary School,Education,Department of Education,School Upgrades,$10.5 million,Hume (C),Point,-37.5748,144.71292,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Sunshine Primary School,Education,Department of Education,School Upgrades,$11.2 million,Brimbank (C),Point,-37.79088,144.8311,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Sydney Road Community School,Education,Department of Education,School Upgrades,$3.4 million,Moreland (C),Point,-37.76969,144.96188,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Syndal South Primary School,Education,Department of Education,School Upgrades,$4.4 million,Monash (C),Point,-37.87909,145.1433,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Tarnagulla Primary School,Education,Department of Education,School Upgrades,$1.9 million,Loddon (S),Point,-36.77126,143.8284,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Taylors Lakes Primary School,Education,Department of Education,School Upgrades,$7.5 million,Brimbank (C),Point,-37.70965,144.79377,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Taylors Lakes Secondary College,Education,Department of Education,School Upgrades,$1.8 million,Brimbank (C),Point,-37.70741,144.7944,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Thornbury High School,Education,Department of Education,School Upgrades,$14.9 million,Darebin (C),Point,-37.75649,145.02521,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Tooborac Primary School,Education,Department of Education,School Upgrades,$1.1 million,Mitchell (S),Point,-37.03978,144.79814,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Traralgon College - Grey St Senior Campus,Education,Department of Education,School Upgrades,$13.4 million,Latrobe (C),Point,-38.19142,146.51949,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Upper Yarra Secondary College,Education,Department of Education,School Upgrades,$6 million,Yarra Ranges (S),Point,-37.79209,145.62393,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Vermont Secondary College,Education,Department of Education,School Upgrades,$5.9 million,Whitehorse (C),Point,-37.84412,145.1997,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Waaia Yalca South Primary School,Education,Department of Education,School Upgrades,$0.8 million,Moira (S),Point,-36.05147,145.32862,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Wallan Primary School,Education,Department of Education,School Upgrades,$6.7 million,Mitchell (S),Point,-37.41146,144.97504,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Warragul Regional College,Education,Department of Education,School Upgrades,$12.3 million,Baw Baw (S),Point,-38.1652,145.92549,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Watsonia Heights Primary School,Education,Department of Education,School Upgrades,$7.9 million,Banyule (C),Point,-37.7153,145.10073,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Watsonia Primary School,Education,Department of Education,School Upgrades,$4.4 million,Banyule (C),Point,-37.70703,145.08692,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Westall Primary School,Education,Department of Education,School Upgrades,$7.2 million,Kingston (C),Point,-37.94219,145.13574,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Western Port Secondary College,Education,Department of Education,School Upgrades,$11.6 million,Mornington Peninsula (S),Point,-38.30817,145.17638,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Wodonga Middle Years College,Education,Department of Education,School Upgrades,$11.3 million,Wodonga (C),Point,-36.13084,146.89056,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Woodville Primary School,Education,Department of Education,School Upgrades,$10.7 million,Wyndham (C),Point,-37.88377,144.69123,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Woori Yallock Primary School,Education,Department of Education,School Upgrades,$10.5 million,Yarra Ranges (S),Point,-37.77737,145.53269,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Box Hill North Primary School,Education,Department of Education,School Upgrades: Growth for 2023,At least $3.4 million,Whitehorse (C),Point,-37.80079,145.12331,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Dromana Primary School,Education,Department of Education,School Upgrades: Growth for 2023,At least $8.7 million,Mornington Peninsula (S),Point,-38.33964,144.95965,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
Ruskin Park Primary School,Education,Department of Education,School Upgrades: Growth for 2023,At least $9.6 million,Maroondah (C),Point,-37.79894,145.29616,Funding is provided to expand capacity to meet enrolment growth at seven established area primary schools.
Ascot Vale West Primary School,Education,Department of Education,School Upgrades: Growth for 2023,At least $10.4 million,Moonee Valley (C),Point,-37.78068,144.91112,Funding is provided to expand capacity to meet enrolment growth at seven established area primary schools.
Templestowe Heights Primary School,Education,Department of Education,School Upgrades: Growth for 2023,At least $11.7 million,Manningham (C),Point,-37.76721,145.11935,Funding is provided to expand capacity to meet enrolment growth at seven established area primary schools.
Reservoir Primary School,Education,Department of Education,School Upgrades: Growth for 2023,At least $15 million,Darebin (C),Point,-37.71142,145.00677,Funding is provided to expand capacity to meet enrolment growth at seven established area primary schools.
Footscray Primary School,Education,Department of Education,School Upgrades: Growth for 2023,At least $18.2 million,Maribyrnong (C),Point,-37.79838,144.89267,Funding is provided to expand capacity to meet enrolment growth at seven established area primary schools.
Ascot Vale Special School,Education,Department of Education,Special School Upgrades,$3.9 million,Moonee Valley (C),Point,-37.77682,144.93236,Funding is provided to expand capacity to meet enrolment growth at seven established area primary schools.
Ballarat Specialist School ,Education,Department of Education,Special School Upgrades,$10 million,Ballarat (C),Point,-37.55244,143.8187,Funding is provided to expand capacity to meet enrolment growth at seven established area primary schools.
Baringa Special School,Education,Department of Education,Special School Upgrades,$13.7 million,Latrobe (C),Point,-38.19174,146.2572,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Barwon Valley School,Education,Department of Education,Special School Upgrades,$10.7 million,Greater Geelong (C),Point,-38.17878,144.32804,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Bayside Special Developmental School,Education,Department of Education,Special School Upgrades,$3.4 million,Kingston (C),Point,-37.94336,145.0568,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Belmore School,Education,Department of Education,Special School Upgrades,$9.7 million,Boroondara (C),Point,-37.80428,145.08114,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Bulleen Heights School,Education,Department of Education,Special School Upgrades,$9.2 million,Manningham (C),Point,-37.76329,145.09506,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Cobram and District Specialist School,Education,Department of Education,Special School Upgrades,$1.8 million,Moira (S),Point,-35.92582,145.65158,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Coburg Special Developmental School,Education,Department of Education,Special School Upgrades,$22.6 million,Moreland (C),Point,-37.73292,144.95174,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Colac Specialist School,Education,Department of Education,Special School Upgrades,$13.9 million,Colac Otway (S),Point,-38.34571,143.58902,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Concord School - campus 1 and campus 2,Education,Department of Education,Special School Upgrades,$10 million,Banyule (C),Point,-37.702,145.07501,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Croxton Special School,Education,Department of Education,Special School Upgrades,$8 million,Darebin (C),Point,-37.764,144.9874,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Diamond Valley Special Developmental School,Education,Department of Education,Special School Upgrades,$10 million,Nillumbik (S),Point,-37.68675,145.11165,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Emerson School,Education,Department of Education,Special School Upgrades,$14 million,Greater Dandenong (C),Point,-37.96986,145.2081,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Frankston Special Developmental School,Education,Department of Education,Special School Upgrades,$12.6 million,Frankston (C),Point,-38.1433,145.1702,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Furlong Park School For Deaf Children,Education,Department of Education,Special School Upgrades,$9.4 million,Brimbank (C),Point,-37.76144,144.8271,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Glenallen School,Education,Department of Education,Special School Upgrades,$8 million,Monash (C),Point,-37.88836,145.16175,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Hamilton Parklands School,Education,Department of Education,Special School Upgrades,$13 million,Southern Grampians (S),Point,-37.72686,142.02246,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Hampden Specialist School - campus 1 and 2,Education,Department of Education,Special School Upgrades,$10.7 million,Corangamite (S),Point,-38.32356,143.06466,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Heatherwood School,Education,Department of Education,Special School Upgrades,$10 million,Manningham (C),Point,-37.80034,145.17804,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Horsham Special School,Education,Department of Education,Special School Upgrades,$8.4 million,Horsham (RC),Point,-36.70784,142.18678,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
